nft_name,nft_id,owner_name,owner_DID,owner_address
Proof of Synth and Time #1,nft14c4wkt9seu6c2zfdfcwcpdykfwka3246ywhtrk7k4v5hgffnxdrqlmqhcy,The Uno Museum,did:chia:1g3qvkavkq9aysns6zfnwk0e9d85jd5hqhzhntcs5kw0e3yg3kh9qqk69r7,xch1k8rqchyjnczan33g6y5af7qysa2age96cmlzlvpql83gv8x9y7vs272z2e
Proof of Synth and Time #23,nft1aqrl79s2d9ef6sewgnq2wa2697dwr32g7yq5hjgevukxq8z9wf4qj4ml6q,lucky8.xch,did:chia:1hp4e7mndncevmz9t9hul6xucsg5q0kpauetcfqj89t4xze7zuswsf7z8a9,xch1dy94x00kd0kggdqd90h0wpsyclmhu3e42al4mwsm76gvdplmd4yslpnfhe
Proof of Synth and Time #8,nft176rvrwva08s90ru0upu3jz8djxmvj2yue2f7q8zu9er8cj5ljz5qgutcf6,lucky8.xch,did:chia:1hp4e7mndncevmz9t9hul6xucsg5q0kpauetcfqj89t4xze7zuswsf7z8a9,xch1dy94x00kd0kggdqd90h0wpsyclmhu3e42al4mwsm76gvdplmd4yslpnfhe
Proof of Synth and Time #4,nft1gmdyynzes9hrxytypy7l7q4j0nvef2wgp7hsvupl29jfgdfwlrkszvdecw,lucky8.xch,did:chia:1hp4e7mndncevmz9t9hul6xucsg5q0kpauetcfqj89t4xze7zuswsf7z8a9,xch1dy94x00kd0kggdqd90h0wpsyclmhu3e42al4mwsm76gvdplmd4yslpnfhe
Proof of Synth and Time #39,nft1etj0yg7xe4cx03rukzlwzvv45kuj70yla59fsurhq63l8lckuw9sfm3mfz,lucky8.xch,did:chia:1hp4e7mndncevmz9t9hul6xucsg5q0kpauetcfqj89t4xze7zuswsf7z8a9,xch1dy94x00kd0kggdqd90h0wpsyclmhu3e42al4mwsm76gvdplmd4yslpnfhe
Proof of Synth and Time #33,nft1ykl7htrza8vxuulj7lqwz4a2tgxln50dnkwk2a999zugnjfu63ysp3xmt2,lucky8.xch,did:chia:1hp4e7mndncevmz9t9hul6xucsg5q0kpauetcfqj89t4xze7zuswsf7z8a9,xch1dy94x00kd0kggdqd90h0wpsyclmhu3e42al4mwsm76gvdplmd4yslpnfhe
Proof of Synth and Time #32,nft1vx4eq0002hu2n3js4hufqat9zy6wu6dm55swl04vk24nl2w0r8psf8sh4p,lucky8.xch,did:chia:1hp4e7mndncevmz9t9hul6xucsg5q0kpauetcfqj89t4xze7zuswsf7z8a9,xch1dy94x00kd0kggdqd90h0wpsyclmhu3e42al4mwsm76gvdplmd4yslpnfhe
Proof of Synth and Time #164,nft13zs2p3e827c7mdcvjgzmvnm84n9ctt4q0smx6svewa4g4tpzetmqpsnszl,lucky8.xch,did:chia:1hp4e7mndncevmz9t9hul6xucsg5q0kpauetcfqj89t4xze7zuswsf7z8a9,xch1dy94x00kd0kggdqd90h0wpsyclmhu3e42al4mwsm76gvdplmd4yslpnfhe
Proof of Synth and Time #180,nft1pwlzqr22y5vefcdnznrzrhtaustr37fzpzwcajuwtmyh833v3grsmq44nz,lucky8.xch,did:chia:1hp4e7mndncevmz9t9hul6xucsg5q0kpauetcfqj89t4xze7zuswsf7z8a9,xch1f43q5cqprvj8gxaxzxnck3x9v6j4q64rm203l7uwfw4zn6ruwltqzeez5h
Proof of Synth and Time #265,nft1wy5p4jr78y7racus3ls437ar20p9p67g4fztmary9qevxqq3va3sfwlyfh,lucky8.xch,did:chia:1hp4e7mndncevmz9t9hul6xucsg5q0kpauetcfqj89t4xze7zuswsf7z8a9,xch1dy94x00kd0kggdqd90h0wpsyclmhu3e42al4mwsm76gvdplmd4yslpnfhe
Retro-EVO POSAT #120,nft1ew87cknu4m46fy074c6j7x5sd727rxeqc4zy0hkqpc0q92x22tfsprrwed,King Leonidas's collection of Gems - 2,did:chia:1npn8jptz5c6g9h8zvpz0mdmpjljdxfedmmhklk2z3al0fuseet0q4sjltd,xch1fe5jf9zypp44jxruh4whale9w59h2y5znjtmvnvtxwzn9vu4ggcqratwzu
Proof of Synth and Time #31,nft12j6qcnw2u94ggt5jtl46k5xp6f4tlxnccws864544dhfj60ez26sfn95mx,MrLynch,did:chia:1q3sm8u7vle8hfv7dc7xzkaz94lgtfxekpjgmzn8q3qc35m6jmv9q2nekcp,xch12xs5p238nd03240vmaz5x0qv36jus3cx7whjygk3yf5z4l2xet3q75266a
Proof of Synth and Time #60,nft1ejhs2057544vews29wkvuy5vqsr8xrq3v6gkwjey4ra8xt9ltqvq6cxnef,MrLynch,did:chia:1q3sm8u7vle8hfv7dc7xzkaz94lgtfxekpjgmzn8q3qc35m6jmv9q2nekcp,xch108tztn6aaff678r93fxt27akff3ynmscvjfrl4wswrdgg2rrlg6q3g33fg
